epoch,loss,miou,macc,fwiou,lr,model
1,1.8678289705385733,0.29149846714994265,0.3516815216218409,0.7345336717289597,0.0004992370400989493,direct
2,1.2009123913459365,0.3409784013278234,0.42307137885077956,0.7511394358204414,0.0004969528642972967,direct
3,1.0547752231820817,0.36002231704276405,0.44170518873837206,0.7625007207378003,0.000493161555298425,direct
4,0.9804842914959225,0.3798719730633379,0.47815786248379943,0.7648107916623333,0.00048788648778305053,direct
5,0.9342062295221323,0.38245074070124563,0.4855696897301301,0.7672856489101677,0.0004811601842965435,direct
6,0.8998666935291821,0.3832166216620128,0.48818323638397265,0.7657785006094154,0.00047302411473662103,direct
7,0.8760408776647904,0.407257522893974,0.5151802949800174,0.7671566143750838,0.0004635284406776378,direct
8,0.8519141315583474,0.4104003350650425,0.5157937650073625,0.7639024604663947,0.0004527317061077995,direct
9,0.8348709967667842,0.42011784969906596,0.5267955090153434,0.7699537984318995,0.0004407004764860077,direct
10,0.816328923814806,0.42228077936907116,0.5299990371723111,0.7698783775740458,0.0004275089283436705,direct
11,0.8021648301982289,0.4212369577013275,0.5384530941854009,0.7679026211076989,0.0004132383919617205,direct
12,0.791076910062102,0.4268908109676941,0.5393157517741735,0.7715211093158507,0.00039797684994238706,direct
13,0.7804078080982616,0.42902074280060676,0.5333136721728909,0.7735588085545512,0.00038181839476719725,direct
14,0.7706954457534725,0.42869221130889246,0.5335569247162851,0.7724094900616703,0.00036486264868553777,direct
15,0.7623629534945768,0.4284929775589143,0.5378642576254519,0.7722103225647977,0.0003472141495103597,direct
16,0.7540745110519161,0.4281410146893313,0.533982465133297,0.7728242179031011,0.00032898170610779946,direct
17,0.7485931298865622,0.4275068894168197,0.5307574942203004,0.7686827169777437,0.00031027772755433657,direct
18,0.7399198482556978,0.4292333623843211,0.5365205194428422,0.7734521156235276,0.0002912175300974571,direct
19,0.734596241738405,0.4280510690650683,0.5354767850521586,0.773422757654977,0.0002719186261926416,direct
20,0.7283389718724478,0.4297237768038318,0.5330955516716839,0.7690598783819034,0.00025249999999999996,direct
21,0.7249268251399138,0.4290083876822118,0.5408142468353307,0.7730834090490879,0.00023308137380735836,direct
22,0.7196450412919277,0.43076750330869956,0.5376354787062596,0.7738086010911441,0.00021378246990254288,direct
23,0.7154324469920651,0.43073600773346377,0.5405380702675111,0.7735617678855203,0.0001947222724456634,direct
24,0.7118005205880008,0.4312796487664515,0.5364302939128521,0.7748941539856633,0.0001760182938922005,direct
25,0.7092234149990436,0.42924179208693847,0.5323691241169455,0.7700278798358089,0.00015778585048964024,direct
26,0.7054114666977903,0.43010800985088626,0.53113246882194,0.7724985535403728,0.00014013735131446212,direct
27,0.702131996490638,0.4312950860791706,0.5341078627270444,0.7738773294888684,0.0001231816052328026,direct
28,0.7006459546162986,0.43066297251893354,0.5345600293798234,0.7732312005885379,0.00010702315005761287,direct
29,0.6977537709862086,0.4303565766344599,0.5338515673493275,0.7743359581366666,9.176160803827953e-05,direct
30,0.6962706441111609,0.43053086923159006,0.534576996385448,0.7736016164291402,7.749107165632946e-05,direct
31,0.6942901155989236,0.4303396263028162,0.5341705317675749,0.7729577062443933,6.429952351399232e-05,direct
32,0.6928830841100622,0.43138590232811963,0.5337439331569646,0.7737751784887811,5.226829389220051e-05,direct
33,0.6915695672802881,0.4308894732196309,0.5334119703772342,0.7736916433902775,4.1471559322362165e-05,direct
34,0.6906488219466371,0.4311265120971755,0.5332992806245345,0.7739607388391159,3.197588526337896e-05,direct
35,0.6901593954755056,0.43139262698190417,0.5331221826079647,0.7738759368875058,2.3839815703456522e-05,direct
36,0.689263310041221,0.4313243792794896,0.5326900744880634,0.774031767371517,1.7113512216949496e-05,direct
37,0.6888143355632345,0.4314994726419871,0.534009135263415,0.7743621801855348,1.1838444701575051e-05,direct
38,0.6884782496067023,0.43179443996376055,0.5339587080794392,0.774355878374473,8.04713570270343e-06,direct
39,0.6881204436622537,0.4317017266167682,0.5336064600993338,0.7744216957144708,5.7629599010508294e-06,direct
40,0.687952469100155,0.43165241957205147,0.5335746905971361,0.7742812045149294,5e-06,direct
